user_id,consumption_date,meal_type,entry_type,description,calories,protein_g,carbs_g,fat_g,source,notes
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-26,breakfast,Core,Whey protein shake with milk and banana,352,34.4,36.6,9.9,import,"Imported from Airtable Detailed Data record recEDhCL769A2RR6I. Original notes: Morning protein shake. Assumed 1 scoop One Science whey, 250 ml toned milk, and 2 very small bananas (~100 g edible total) based on photo. Estimate may vary with actual banana weight and milk type."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-29,breakfast,Core,"Banana, milk and protein powder shake",315,47,18,8,import,"Imported from Airtable Detailed Data record recHl6QGzGIJDTUub. Original notes: Breakfast shake estimate: 33 g banana, 150 ml toned milk, 55 g protein powder. Protein powder assumed ~195 kcal and ~42 g protein for 55 g."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-28,lunch,Core,"Rajma rice with dahi, beetroot cutlet and chicken tikka",630,30.6,89.5,16.6,import,"Imported from Airtable Detailed Data record recKcIoYd03qYLLnd. Original notes: Measured lunch: 138g cooked white rice, 167g homemade rajma with gravy, 100g Nestle a+ Classic Dahi, 1 homemade beetroot cutlet, and 54g Zorabian Chicken Tikka cooked pieces (24g + 30g). Zorabian tikka macros scaled from package label: 127.1 kcal, 19.87g protein, 5.2g carbs, 2.98g fat per 100g. Beetroot cutlet estimated; rest measured/label based."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-27,snack,Core,Mango,10,0.1,2.5,0,import,"Imported from Airtable Detailed Data record recM3fb8IbKlMRmEI. Original notes: 1 tablespoon ripe mango. Small portion estimate: ~10 kcal, 0.1g protein, 2.5g carbs, 0g fat."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-24,snack,Core,One Science whey protein shake,117,25,1.6,2.1,import,"Imported from Airtable Detailed Data record recMcpFM4EhpKgTVM. Original notes: 1 scoop One Science Premium Whey mixed with water. Nutrition used from label: 117 kcal, 25 g protein, 1.6 g carbs, 2.1 g fat per scoop."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-26,dinner,Core,Paneer spinach mushroom corn curry with 2 rotis,460,21,52,20,import,"Imported from Airtable Detailed Data record recRXTU4tbLLIycEY. Original notes: Estimated from photo and user description: high-protein paneer, spinach, mushroom and corn curry; total recipe used 200g paneer and Arun ate approx. one-fourth (~50g paneer). Included 2 medium homemade rotis. Estimate may vary with oil/ghee and exact roti size."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,snack,Core,Wheat bread and Britannia cheese slice,135,5.5,13,7,import,Imported from Airtable Detailed Data record recSaxhYlJaAKtHYa. Original notes: Late-night pre-sleep snack: one slice wheat bread and one slice Britannia cheese. Logged against previous eating day as requested.
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-27,breakfast,Core,"Frittata-style omelette with cheese, onions and mushrooms",215,15.4,4.5,15,import,"Imported from Airtable Detailed Data record recSxEqeZL9gXVAGY. Original notes: Estimated from photo and user description: homemade frittata-style omelette made with 4 eggs, onions, mushrooms, 1 slice cheese and some butter. Arun ate half, equivalent to approx. 2 eggs, 1/2 cheese slice, vegetables and share of butter. Portion estimated from recipe, not remaining food in image."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,dinner,Core,Palak paneer and roti,350,19.5,26,17.5,import,"Imported from Airtable Detailed Data record recUDVhwq40xmyQdL. Original notes: Home-style palak paneer with 7-8 paneer cubes, estimated around 75-90 g paneer, plus one medium whole-wheat roti. Estimate assumes moderate oil/ghee in gravy."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-29,dinner,Core,"Khichdi with dahi, chicken tikka and papad",650,33,82,19,import,"Imported from Airtable Detailed Data record recUauNx2XaXzt8Ph. Original notes: Estimated from photo: yellow dal-rice/khichdi-style portion approx. 275-300g cooked, dahi approx. 80-100g, 2 pieces chicken tikka/malai tikka approx. 75-90g cooked, small papad pieces, onion negligible. Moderate uncertainty due to visual portion estimate."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-25,snack,Core,One Science whey protein with water,117,25,1.6,2.1,import,"Imported from Airtable Detailed Data record recaWkpfU4qn5Z2xO. Original notes: 1 scoop One Science whey protein with water. Used standard saved nutrition: 117 kcal, 25.0g protein, 1.6g carbs, 2.1g fat."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-27,snack,Core,Epigamia 25g protein shake,138,25,9,0.2,import,"Imported from Airtable Detailed Data record recf4vaQellgOPxNz. Original notes: Epigamia 25g protein ready-to-drink shake, 250 ml. Exact nutrition from label shared by Arun: 138 kcal, 25g protein, 9g carbs, 0.2g fat, 0g added sugar."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-27,lunch,Junk,"IKEA mixed lunch with drinks: herb rice, nuggets, onion rings, chicken sandwich, desserts, soda and non-alcoholic beer",1341,34,164,62,import,"Imported from Airtable Detailed Data record recfa5KuJGIBpBXnr. Original notes: Updated IKEA lunch estimated from photos and user description. Arun ate approx. 1/3 herb rice with cheese patty and sauce, 2 chicken nuggets, 2 onion rings, 1/2 Greek chicken sandwich with processed chicken cubes and mayo-heavy sauce, 1/2 IKEA almond dessert, 1/3 chocolate croissant, approx. 1 glass lightly flavored IKEA cold soda (~250 ml), and 330 ml non-alcoholic beer at 36 kcal/100 ml. Classified as Junk because most calories came from fried/breaded items, processed sandwich with mayo-heavy sauce, dessert, croissant and sugary beverage rather than a core meal. Restaurant estimate with higher uncertainty; revised total includes drinks."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-24,dinner,Core,"Paneer bhurji, coconut beans and roti",390,17.5,35,19.5,import,"Imported from Airtable Detailed Data record recfabyzcAOlgIPLu. Original notes: Dinner estimated from photo: paneer bhurji on left, coconut beans on right, and one homemade roti. Assumes around 75 g paneer, moderate oil in bhurji, half cup coconut beans, and roti without ghee."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-28,dinner,Alcohol,2 Corona beers,300,2,28,0,import,"Imported from Airtable Detailed Data record recgp5qqs6wZ0Syx8. Original notes: Alcohol entry: 2 Corona beers, estimated ~150 kcal each."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-24,breakfast,Eating Out,Restaurant buffet breakfast,568,39,31,30,import,"Imported from Airtable Detailed Data record rechlaTRA4fCzCV4J. Original notes: Restaurant buffet breakfast: 3 small chicken sausages, 2 scrambled eggs, 2 small grilled chicken pieces with BBQ sauce, a few very small bites of muffin, 1 steamed idli, and a little coconut chutney. Scrambled eggs assumed slightly richer than homemade but not very buttery."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-25,dinner,Core,"Egg bhurji, 1 roti and dal",470,24.5,46,22,import,Imported from Airtable Detailed Data record rechqy4BHQzU3EA25. Original notes: Updated dinner entry. Estimated from photos: approx. 2-egg bhurji with onion/spices and ~1 tsp oil; 1 medium homemade roti without ghee; 1 small bowl (~150 ml) yellow/tadka dal with moderate oil. Uncertainty if egg count/oil/dal quantity differs.
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-29,snack,Core,Haldi milk without sugar,85,5,7,4,import,"Imported from Airtable Detailed Data record reci5n0ptrHbVsSW1. Original notes: Estimated from photo: small cup of haldi/turmeric milk, approx. 120-150 ml milk with turmeric/spices and no sugar. Moderate uncertainty due to visual volume estimate."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-25,lunch,Core,Chicken salad with pineapple and beans,500,50,22,21,import,"Imported from Airtable Detailed Data record recj6numOHD1fXwQ8. Original notes: Updated after clarification: the items initially thought to be beans were actually peanuts. Chicken salad estimated from photo: chicken breast, mushrooms, pineapple pieces, cucumber, carrot, onion, peanuts, yogurt-based dressing with some fat component, small quantity of vegetables. Assumes about 200 g raw chicken and a slightly creamier dressing than prior salads."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,snack,Eating Out,Half iced latte - no sugar,70,3.5,5.5,3.5,import,"Imported from Airtable Detailed Data record recjpDZ5f3x98vMIO. Original notes: Half an iced latte from a coffee shop, no sugar or syrup. Estimate assumes approximately 150 ml milk consumed, regular coffee shop milk, and espresso calories negligible."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-29,snack,Core,Greek yoghurt with almonds and cashews,185,13,10,12,import,"Imported from Airtable Detailed Data record reckfGKKcAUR8mEog. Original notes: Estimated snack: small cup plain/thick Greek yoghurt assumed ~100g, plus 7 almonds and 7 cashews. Nuts estimated at ~8-9g almonds and ~10-11g cashews. Portion uncertainty moderate because yoghurt cup size not weighed."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-27,dinner,Core,Egg bhurji,220,14,5,16,import,"Imported from Airtable Detailed Data record recpdkkCK2q6pG3gn. Original notes: 149g homemade egg bhurji excluding bowl, weighed by Arun. Estimated as ~2 eggs with onion, tomato, coriander, spices and about 1 tsp oil. Calories may be higher if more oil/butter was used."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-25,breakfast,Core,Home scrambled eggs,150,12.5,1.5,10.5,import,"Imported from Airtable Detailed Data record recr2ELljd1ljAG1O. Original notes: 2 home-made scrambled eggs. Estimate assumes small amount of oil/butter and no cheese, cream or milk."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,lunch,Core,Chicken salad,445,56.5,27,12.5,import,"Imported from Airtable Detailed Data record recwPQxzPZTJAf28t. Original notes: 200 g raw chicken breast, mixed vegetables, half apple, 5-7 nuts, Greek yogurt dressing with small fat component. Calories and macros estimated from ingredients and portion size."
7216c939-7f13-411c-9e20-6216bce765d5,2026-06-23,snack,Eating Out,Chicken tikka wrap and fries,220,11,24,9,import,"Imported from Airtable Detailed Data record reczFLmPM4y1keJZm. Original notes: Approximately one-quarter of a restaurant chicken tikka wrap from Poetry & Cheesecake, maida-based wrap, plus 8-10 fries. Estimated from visible portion size and restaurant preparation assumptions."
